Ranks	cio.com	LinkedIn 1	LinkedIn 2	Simplilearn	zdnet.com	thebalancecareers.com	roberthalf.com	siliconrepublic.com	fulltimenomad.com	upwork.com
1	Business Analysis	Cloud	AI,ML	AI	CG	Database	Big data	Data Science	Marketing	Cloud
2	Cloud	AI	DevOps	ML	ML	Desktop App	Mobile App	Security	Mobile App,Desktop App	Business Analysis
3	Cloud	Analytical Reasoning	Mobile App	Robotic	Network	Web	Security	Mobile App	Marketing	Biology
4	Data Science	HR	Data Science	Blockchain	Security	Systems Admin	PM	Web	Design	Design
5	Database	Design	Blockchain	Computing	Cloud	Mobile App	Data architect 	DevOps	Security	Cloud
6	Web	Mobile App	Security	VR/AR	Desktop App	Marketing	Database	Desktop App	Cloud	GA
7	Desktop App	Design		Security	Business Analysis	Security	Security	Cloud	AI,ML	Web
8	Mobile App	Business Manage		IoT	DevOps		Desktop App	PM	Data Science	Cloud
9	DevOps	Translation			Database		Network	IoT	Web	Customer Service
10	Web	Design			Customer Service		Data Science		Programming	HR
11	Customer Service	AI					Web		Design	Cloud
12	IoT	Computing					Testing			VR/AR
13	Network	Game					Systems Admin			Business Analysis
14	Security	Marketing								Writing
15	Systems Admin	Design								VR/AR
16		Business Analysis								Education
17		Writing								Education
18		Marketing								Web
19		Design								Web
20		Business Manage								ML
21		Customer Service								
22		Testing								
23		Data Science								
24		CG								
